"Valid Values","Description","source"
"koniocellular cell","A neuron with a small cell body that is located in a koniocellular layer of the lateral geniculate nucleus (LGN). Synonyms: K cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"midget ganglion cell of retina","A retinal ganglion cell that originate in the ganglion cell layer of the retina, and project to the parvocellular layers of the lateral geniculate nucleus (LGN). These cells are known as midget retinal ganglion cells due to the small sizes of their dendritic trees and cell bodies.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"parasol ganglion cell of retina","A retinal ganglion cell located in the ganglion cell layer of the retina. This cell projects to magnocellular cells in the lateral geniculate nucleus (LGN). They have large cell bodies and extensive, branching dendritic networks that contribute to their large receptive fields.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"pulmonary capillary endothelial cell","Any capillary endothelial cell that is part of a lung. Synonyms: lung capillary endothelial cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"alveolar capillary type 1 endothelial cell","An alveolar capillary endothelial cell that is located distally to alveolar capillary type 2 endothelial cells.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"alveolar capillary type 2 endothelial cell","An alveolar capillary endothelial cell that is located proximally to alveolar capillary type 1 endothelial cells and in close apposition to alveolar type 1 epithelial cells (also known as type I pneumocytes).","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"alveolar type 1 fibroblast cell","A pulmonary interstitial fibroblast that is part of the alveolus and contains lipid droplets.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"alveolar adventitial fibroblast","A pulmonary interstitial fibroblast that is part of the alveolus and localizes to vascular adventitia. Synonyms: alveolar type 2 fibroblast cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"gamete-nursing cell","A cell that supports the development of a gamete by providing it cytoplasmic material (including entire organelles) by direct cross-membrane channels (del Pino, 2021).","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"germline-derived nurse cell","A gamete-nursing cell that derives from a germline cell (del Pino, 2021).","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"somatic nurse-like cell","A gamete-nursing cell that derives from the somatic tissues of the gonad (del Pino, 2021).","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"choroidal melanocyte","A melanocyte located in the vascular uvea and involved in photoprotection, regulation of oxidative damage and immune responses. Synonyms: uveal melanocyte","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"stromal cell of thymus","A stromal cell that is part of the thymus. Synonyms: thymic stromal cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"effector memory CD45RA-positive, alpha-beta T cell, terminally differentiated","An alpha-beta memory T cell with the phenotype CD45RA-positive. Synonyms: TEMRA cell, terminally differentiated effector memory CD45RA+ T cells, terminally differentiated effector memory cells re-expressing CD45RA","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"interstitial cell of thymus","A cell that makes up the loose connective tissue of the thymus. Synonyms: thymic interstitial cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"thymic nurse cell","A large epithelial cell found in the thymus. This cell type may internalize thymocytes through extensions of plasma membrane. The cell surface and cytoplasmic vacuoles of a thymic nurse cell express MHC Class I and MHC Class II antigens. The interaction of these antigens with a developing thymocyte determines whether the thymocyte undergoes positive or negative selection.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"kidney collecting duct beta-intercalated cell","A renal beta-intercalated cell that is part of the cortical collecting duct. The medullary collecting duct does not contain the renal beta-intercalated cell type. Synonyms: B-IC, kidney collecting duct intercalated cell type B","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"fallopian tube secretory epithelial cell","An epithelial cell that is part of the fallopian tube that secretes mucus and oviduct-specific products in response to hormonal stimulation from estrogen and luteinizing hormone. This fallopian tube secretory cell is similar in height to the ciliated cell, but typically exhibits a more narrow, columnar shape. Its nucleus is ovoid and oriented perpendicular to the cell's long axis, with denser chromatin and a smaller nucleolus compared to the ciliated cell. Synonyms: uterine tube secretory epithelial cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"fallopian tube multiciliated epithelial cell","A multi-ciliated epithelial cell that is part of the fallopian tube, mainly found on the apex of the mucosal folds. This cell exhibits a columnar shape with an oval nucleus and is characterized by the presence of cilia on its surface. The coordinated beating of these cilia, together with peristaltic contractions, contributes to the self-propulsion of spermatozoa, the transport of ovum during ovulation and the transport of the fertilized ovum to the intramural fallopian tube. Synonyms: fallopian tube ciliated cell, fallopian tube multiciliated cell, uterine tube ciliated epithelial cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"pronephric podocyte","A specialized epithelial cell that contains ""feet"" that interdigitate with the ""feet"" of other glomerular epithelial cells in the pronephros. Synonyms: pronephric glomerular visceral epithelial cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"epithelial cell of proximal tubule segment 1","A brush border cell that is part of segment 1 (S1) of the proximal tubule epithelium, located in the renal cortex. Synonyms: epithelial cell of segment 1 of proximal tubule","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"epithelial cell of proximal tubule segment 2","A brush border cell that is part of segment 2 (S2) of the proximal tubule epithelium, located in the renal cortex. In addition to its reabsorptive functions, it is also specialized in the secretion of organic anions and cations, including para-aminohippurate. Synonyms: epithelial cell of segment 2 of proximal tubule","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"epithelial cell of proximal tubule segment 3","A brush border cell that is part of segment 3 (S3) of the proximal tubule epithelium, which extends from the medullary rays of the renal cortex into the outer medulla. Synonyms: epithelial cell of segment 3 of proximal tubule","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"kidney loop of Henle short descending thin limb epithelial cell","Epithelial cell of the descending thin limb of the short loop (cortical) nephron limited to the outer medulla (mainly inner strip). It is known in some mammalian species that the short descending limb of the loop of Henle selectively expresses the serine protease Corin, the homeobox TF Uncx, and the urea channel Slc14a2. Synonyms: epithelial cell of the descending thin limb of the short loop of Henle","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"kidney loop of Henle long descending thin limb outer medulla epithelial cell","Epithelial cell of the descending thin limb of the long loop (juxtamedullary) nephron that spans the outer medulla (inner stripe). It is known in some mammalian species that the long descending limb of the loop of Henle in the outer medulla selectively expresses the secreted activin-antagonist protein follistatin (Fst), the GPI-linked adhesion protein Cdh13, and the protein kinase Stk32a. Synonyms: epithelial cell of the outer medulla of the long descending limb of the loop of Henle","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"kidney loop of Henle long descending thin limb inner medulla epithelial cell","Epithelial cell of the descending thin limb of the long loop (juxtamedullary) nephron that spans the inner medulla. It is known in some mammalian species that the long descending limb of the loop of Henle in the inner medulla selectively expresses the nuclear receptor Nr2e3, the Ig kappa chain Igkc, and the secreted protein dermokine (Dmkn). SLC14A2, which expresses a urea transporter, is also expressed in the inner medulla. Synonyms: epithelial cell of the inner medulla of the long descending limb of the loop of Henle","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"kidney collecting duct alpha-intercalated cell","A renal alpha-intercalated cell that is part of the collecting duct of the renal tubule. Synonyms: kidney collecting duct intercalated cell type A","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"epithelial cell of early distal convoluted tubule","An epithelial cell located in the early distal convoluted tubule.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"epithelial cell of late distal convoluted tubule","An epithelial cell located in the late distal convoluted tubule.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"kidney connecting tubule principal cell","A renal principal cell located in the connecting tubule.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"kidney connecting tubule intercalated cell","A renal intercalated cell that is part of the renal connecting tubule.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"kidney connecting tubule alpha-intercalated cell","A renal alpha-intercalated cell that is part of the renal connecting tubule. Synonyms: connecting tubule A-IC, kidney connecting tubule intercalated cell type A","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"kidney connecting tubule beta-intercalated cell","A renal beta-intercalated cell that is part of the renal connecting tubule. Synonyms: connecting tubule B-IC, kidney connecting tubule intercalated cell type B","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"renal medullary fibroblast","A fibroblast that is located in the renal medulla interstitium. Synonyms: kidney medullary fibroblast","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"respiratory tract hillock cell","A hillock cell that is located in respiratory epithelium. In some mammalian species, this cell type has been noted to express KRT13 and KRT4 and is postulated to play a role in squamous barrier function and immunomodulation. Synonyms: hillock cell of respiratory tract, respiratory hillock cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"hillock cell","An epithelial, transitional cell type between basal and secretory; located in stratified, non-ciliated structures (called hillocks) with high cell turnover in epithelium. In some mammalian species, this cell type has been noted to express KRT13 and is postulated to play a role in squamous barrier function and immunomodulation.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"renal cortical fibroblast","A fibroblast that is located in the renal cortical interstitium. Synonyms: kidney cortical fibroblast","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"BEST4+ enterocyte","An enterocyte of the human intestine expressing bestrophin-4 (BEST4) calcium-activated ion channels.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"GABAergic amacrine cell","An amacrine cell that uses GABA as a neurotransmitter. Synonyms: amacrine cell, GABAergic","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"glycinergic amacrine cell","An amacrine cell that uses glycine as a neurotransmitter. Synonyms: amacrine cell, glycinergic","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"blood lymphocyte","A lymphocyte located in blood.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"peripheral blood lymphocyte","A blood lymphocyte located in the flowing, circulating blood of the body.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"interstitial cell","Any cell that is located within the interstitium between the cells most prominent in defining a given tissue. ""Interstitial cell"" is a morphological term and refers to a variety of cells with differing origins and phenotypes.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"valve interstitial cell","An interstitial cell that is part of a cardiac valve leaflet. Along with valve endothelial cells, a valve interstitial cell maintains tissue homeostasis for the function of cardiac valves through secreting biochemical signals, matrix proteins and matrix remodeling enzymes. Synonyms: VIC, cardiac valve interstitial cell, valvular interstitial cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"valve endothelial cell","An endothelial cell that lines a surface of a cardiac valve leaflet. Along with valve interstitial cells, a valve endothelial cell maintains tissue homeostasis for the function of cardiac valves through secreting biochemical signals, matrix proteins and matrix remodeling enzymes. Synonyms: VEC, valvular endothelial cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"respiratory tract multiciliated cell","A multiciliated epithelial cell located in the respiratory tract epithelium, characterized by a columnar shape and motile cilia on its apical surface. This cell develops through a highly orchestrated process, transitioning from a basal progenitor via an intermediate deuterosomal cell stage that generates centrioles essential for ciliogenesis. Synonyms: ciliated cell of the respiratory tract, respiratory ciliated cell, respiratory multiciliated cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"dental pulp stem cell","A dental pulp cell that possesses stem-cell-like qualities, including self-renewal capability and multi-lineage differentiation. Synonyms: DPSC","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"early spermatid","A spermatid in an early stage of maturation that has a round morphology and is transcriptionally active. Synonyms: round spermatid","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"late spermatid","A spermatid in a late stage of maturation that has an elongated morphology and is transcriptionally inert when the acrosome is fully developed. Synonyms: elongated spermatid","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"CD24-positive, CD-133-positive, vimentin-positive proximal tubular cell","A CD24-positive, CD-133-positive, vimentin-positive cell found scattered throughout a renal proximal tubule and that may participate in tubular regeneration. Compared to other proximal tubular cell types, this cell contains less cytoplasm, fewer mitochondria and no brush border.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"endometrial multiciliated epithelial cell","A multi-ciliated cell of the endometrial epithelium. This cell is characterized by the presence of 9+2 motile cilia on its apical surface, which facilitates the movement of mucus across the endometrial surface. Synonyms: ciliated cell of the endometrium, endometrial ciliated epithelial cell, endometrium ciliated epithelial cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"luminal endometrial multiciliated epithelial cell","A ciliated cell of the endometrial luminal epithelium. This cell is characterized by the presence of motile cilia on its apical surface. Synonyms: luminal endometrial ciliated epithelial cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"glandular endometrial multiciliated epithelial cell","A ciliated cell of the endometrial glandular epithelium. This cell is characterized by the presence of motile cilia on its apical surface. Synonyms: glandular endometrial ciliated epithelial cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"Islands of Calleja granule cell","A GABAergic neuron that resides in the islands of calleja and shows the cytoarchitectural and molecular features characteristic of this granule-like cell population. In mice and primates, it expresses D1 and D3 dopamine receptors (Drd1; Drd3), GABAergic markers (GAD1/2) and form densely packed granule cell clusters in the olfactory tubercle within the ventral striatum. Moreover it receives dense dopaminergic input from the VTA, and functionally associated with self-grooming behaviors and depression-like behaviors.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"intermediate cell of urothelium","A urothelial cell that is part of the regenerative layer(s) of cells directly superficial to basal cells in urothelium. The layer of intermediate cells in the urothelium ranges from one to several layers thick depending on the species with intermediate cells attached to adjacent cell layers and one another via desmosomes. Synonyms: urothelial intermediate cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"umbrella cell of urothelium","A urothelial cell that is terminally differentiated and part of the urothelial apical surface that forms the high-resistance barrier of urothelium. Umbrella cells have been described as the largest of urothelial cell types, highly polarized, and, in some species, multinucleated. In the relaxed state, these cells form a dome-shaped structure at the apical pole and can also cover multiple underlying intermediate cells, leading to the name umbrella cells. In contrast, these cells flatten when the bladder is filled. Synonyms: facet cell of urothelium, superficial cell of urothelium","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"TCR-positive macrophage","A macrophage that expresses the T cell receptor complex at the cell surface. Synonyms: T cell receptor positive macrophage, TCR+ macrophage","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"ureteric bud cell","An epithelial cell that is part of a ureteric bud. A ureteric bud cell has the potential to induce metanephric mesenchymal cells to proliferate and convert to epithelia that form renal tubules via: (1) the secretion of multiple diffusible growth factors that rescue renal progenitors from apoptosis and stimulate them to proliferate and (2) contact-dependent mechanisms that induce mesenchymal-epithelial conversion.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"club-like cell of the urethral epithelium","An epithelial cell of the urethra that has an expression profile similar to lung club cells. Club-like cells of the urethra epithelium are similar to lung club cells in their expression of SCGB1A1 and in their enrichment of immunomodulatory programs. Synonyms: club cell of the urethra epithelium, club-like cell of the prostatic urethra epithelium, prostate club cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"endothelial cell of venule of lymph node","A(n) endothelial cell that is part of a(n) venule of lymph node.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"endothelial cell of arteriole of lymph node","A(n) endothelial cell that is part of a(n) arteriole of lymph node.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"myoepithelial cell of bronchus submucosal gland","A(n) myoepithelial cell that is part of a(n) bronchus submucosal gland.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"smooth muscle cell of taenia coli","A(n) smooth muscle cell that is part of a(n) taenia coli.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"serous secreting cell of bronchus submucosal gland","A(n) serous secreting cell that is part of a(n) bronchus submucosal gland.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"endothelial cell of efferent lymphatic vessel","A(n) endothelial cell that is part of a(n) efferent lymphatic vessel.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"brush cell of epithelium of lobar bronchus","A(n) brush cell that is part of a(n) epithelium of lobar bronchus.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"vein endothelial cell of respiratory system","A(n) vein endothelial cell that is part of a(n) respiratory system.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"goblet cell of epithelium of lobar bronchus","A(n) goblet cell that is part of a(n) epithelium of lobar bronchus.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"smooth muscle cell of large intestine smooth muscle circular layer","A(n) smooth muscle cell that is part of a(n) large intestine smooth muscle circular layer.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"smooth muscle cell of large intestine smooth muscle longitudinal layer","A(n) smooth muscle cell that is part of a(n) large intestine smooth muscle longitudinal layer.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"suprabasal keratinocyte","A keratinocyte that resides in the epidermal suprabasal layer and expresses differentiation markers, including keratin 1 and keratin 10, in both humans and mice. In human interfollicular epidermis, this cell retains proliferative capacity and possesses retrodifferentiation potential, acquiring basal-like properties during wound healing or basement membrane contact.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"peg cell","A small, narrow, peg-shaped epithelial cell with little cytoplasm that is part of oviduct epithelium. This cell is rarer than the ciliated and secretory epithelial cells of the fallopian tube epithelium and is often found intercalated between them. Peg cells are generally distributed basally along the epithelium and have been found in high concentrations at the fimbriated, distal end of the fallopian tube in humans. It may have a regenerative/stem-cell function. In humans, markers include EPCAM, CD44, and ITGA6. Synonyms: FTE stem-like cell, FTESC, fallopian tube epithelial stem-like cell, intercalary cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"retinal astrocyte","A star-shaped glial cell that is part of some retina. This cell links neurons to blood vessels and may provide structural and physiological support to optic nerve head axons.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"secondary crest myofibroblast","A myofibroblast that is part of an alveoli during alveolarization. The contractile force of this cell elongates the secondary crest, while producing a framework of elastin and tenascin. During the maturation of the septa, secondary crest myofibroblasts, together with matrix fibroblasts, secrete metalloproteinases and other ECM‐remodeling proteins to thin the septal tip ECM. The secondary crest myofibroblast continues producing elastin, eventually undergoing apoptosis during adulthood. Synonyms: secondary-crest myofibroblast","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"bronchiolar smooth muscle cell","A smooth muscle cell that is part of a bronchiole.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"lung megakaryocyte","A megakaryocyte that is resident in the lung connective tissue. Synonyms: lung resident megakaryocyte, lung-resident megakaryocyte","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"ON-blue cone bipolar cell","An ON bipolar cell type with dendrites selectively contacting S-cones.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"mucus secreting cell of trachea gland","A mucus secreting cell that is part of a submucosal gland of the trachea. Synonyms: tracheal submucosal gland mucous cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"myoepithelial cell of trachea gland","A myoepithelial cell that is part of a submucosal gland of the trachea.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"mucus secreting cell of bronchus submucosal gland","A mucus secreting cell of a submucosal gland of the bronchus. Synonyms: bronchial gland mucous cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"airway submucosal gland collecting duct epithelial cell","An epithelial cell that is part of a collecting duct of an airway submucosal gland.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"airway submucosal gland duct basal cell","A basal cell that is part of a duct of an airway submucosal gland.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"perichondrial fibroblast","A fibroblast that is part of the fibrous layer of the perichondrium. This cell is responsible for collagen fiber production.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"lung perichondrial fibroblast","A perichondrial fibroblast that is part of the lung.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"diffuse bipolar 1 cell","An OFF diffuse bipolar cell that makes synaptic contact with both L/M and S-cone photoreceptors and only minimal contact with rod photoreceptors. Synonyms: Diffuse Bipolar Cell Type DB1","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"diffuse bipolar 2 cell","An OFF diffuse bipolar cell that predominantly connects to ON parasol cells and lateral amacrine cells. This cell contains a large number of synaptic ribbons and a small axon arbor area.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"diffuse bipolar 3a cell","An OFF calbindin-positive bipolar cell that has a large dendritic field and stratifies narrowly close to the middle of the inner plexiform layer. Its axon terminal is characterized by regularly branching and varicose processes resembling beads on a string. Most of DB3a contacts with cones are triad-associated.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"diffuse bipolar 3b cell","An OFF calbindin-negative bipolar cell that has a large dendritic field and stratifies narrowly close to the middle of the inner plexiform layer. Its axon terminal is characterized by regularly branching and varicose processes resembling beads on a string. Most of DB3b contacts with cones are non-triad-associated.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"diffuse bipolar 4 cell","An ON diffuse bipolar cell that predominantly connects to ON parasol cells and lateral amacrine cells.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"diffuse bipolar 6 cell","An ON diffuse bipolar cell that has a large dendritic field and large axon terminals, which show little or no overlap. This cell predominantly connects to narrow thorny ganglion cells.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"flat midget bipolar cell","An OFF bipolar cell with a small dendritic tree that provides most of the triad-associated basal (flat) contacts at cone pedicles.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"invaginating midget bipolar cell","An ON bipolar cell with a small dendritic tree that forms most of the central (invaginating) elements opposite the synaptic ribbon at the cone triad.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"giant bipolar cell","An ON bipolar cell that has large dendritic and axonal fields.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"OFFx cell","An OFF bipolar cell that is fovea-specific and expresses FEZF1, NXPH1 and NXPH2.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"mucus secreting cell of tracheobronchial tree submucosal gland","A mucus secreting cell of a submucosal gland of the tracheobronchial tree.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"lung resident memory CD4-positive, alpha-beta T cell","An alpha-beta CD4 T cell that resides in the lung. Synonyms: lung resident memory CD4 T cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"lung resident memory CD8-positive, alpha-beta T cell","An alpha-beta CD8 T cell that resides in the lung.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"lung resident memory CD8-positive, CD103-positive, alpha-beta T cell","A lung resident memory CD8-positive, alpha-beta T cell that is CD103-positive. Synonyms: lung TRM CD8-positive, CD103-positive cell, lung TRM CD8-positive, integrin alpha E-positive cell, lung resident memory CD8-positive CD103-positive, alpha-beta T cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"CCL3-positive alveolar macrophage","An alveolar macrophage that expresses CCL3. Synonyms: alveolar macrophage CCL3-positive","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"metallothionein-positive alveolar macrophage","An alveolar macrophage that expresses metallothionein. Synonyms: alveolar macrophage MT-positive, alveolar macrophage metallothionein-positive","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"lung interstitial macrophage","A macrophage that is part of the lung connective tissue (pulmonary interstitium). This cell performs tissue remodeling and contributes to barrier immunity through antigen presentation.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"deuterosomal cell","An epithelial cell part of respiratory tract epithelium that is a precursor of a multi-ciliated cell. This cell actively amplifies centrioles, a required step for multiciliogenesis.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"lung migratory dendritic cell","A dendritic cell that captures antigens in a lung and migrates to a lymph node or to the spleen to activate T cells.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"ON midget ganglion cell","A midget ganglion cell that depolarizes in response to increased light intensity in the center of its receptive field. The majority of input that this cell receives comes from invaginating midget bipolar cells. Synonyms: ON-midget RGC, ON-midget cell, inner stratifying midget cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"OFF midget ganglion cell","A midget ganglion cell that depolarizes in response to decreased light intensity in the center of its receptive field. The majority of input that this cell receives comes from flat midget bipolar cells. Synonyms: OFF-midget RGC, OFF-midget cell, outer stratifying midget cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"respiratory tract suprabasal cell","A respiratory epithelial cell derived from a basal cell, with a topographic nuclear position between the basal and luminal cells of the airway epithelium. This non-basal, intermediate progenitor cell has limited proliferative capacity and can differentiate into multiciliated, secretory, or rare airway cells (ionocytes, tuft cells, neuroendocrine cells). It shares some ultrastructural features with basal cells but lacks the defined characteristics of fully differentiated cellular phenotypes. Synonyms: respiratory parabasal cell, respiratory suprabasal cell, respiratory suprabasal progenitor cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"taste receptor cell of tongue","A taste receptor cell that is part of a taste bud of a tongue.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"OFF parasol ganglion cell","A parasol ganglion cell that depolarizes in response to decreased light intensity in the center of its receptive field. The majority of input that this cell receives comes from DB3a bipolar cells. Synonyms: OFF-parasol RGC, OFF-parasol retinal ganglion cell, outer parasol cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"ON parasol ganglion cell","A parasol ganglion cell that depolarizes in response to increased light intensity in the center of its receptive field. The majority of input that this cell receives comes from DB4 bipolar cells. Synonyms: ON-parasol RGC, ON-parasol retinal ganglion cell, inner parasol cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"small bistratified retinal ganglion cell","A bistratfied retinal ganglion cell with a small dendritic field that has dendrites in the ON and OFF sublamina of the retinal inner plexiform layer and carries blue-ON/yellow-OFF signals. This cell receives bipolar and amacrine input to both the OFF and ON dendritic tree. Synonyms: small bistratified cell, small bistratified cell, blue-ON/yellow-OFF ganglion cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"perivascular cell","A cell that is adjacent to a vessel. A perivascular cell plays a crucial role in maintaining vascular function and tissue homeostasis. This cell type regulates vessel integrity and flow dynamics.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"airway submucosal gland duct multiciliated cell","A multi-ciliated epithelial cell located in ciliated duct of an airway submucosal gland, characterized by a columnar shape and motile cilia on its apical surface. Synonyms: airway submucosal gland duct ciliated cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
